Ford,,,,,,
Make,Model,Manufacture,Transponder Key,STRATTEC,Notes,In stock?
[Buick],[Cascada],[2016–2019],[B120 (ID46 chip,STRATTEC 5933963)],,
[Buick],[Enclave],[2008–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Buick],[Encore],[2013–2022],[B120 (ID46 chip,STRATTEC 5933963)],,
[Buick],[Encore GX],[2020–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Buick],[Envision],[2016–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Buick],[LeSabre],[1992–1999],[B89 (non-transponder)],,,
[Buick],[LeSabre],[2000–2005],[B111-PT (Circle+ chip,BRK)],,
[Buick],[Lucerne],[2006–2011],[B111-PT (Circle+ chip,BRK)],,
[Buick],[Park Avenue],[1991–1996],[B89 (non-transponder)],,,
[Buick],[Park Avenue],[1997–2005],[B111-PT (Circle+ chip,BRK)],,
[Buick],[Regal],[1997–2004],[B89 (non-transponder)],,,
[Buick],[Regal],[2005–2020],[B111-PT (Circle+ chip,BRK)],,
[Buick],[Verano],[2012–2017],[B120 (ID46 chip,STRATTEC 5933963)],,
[Cadillac],[ATS],[2013–2019],[B120 (ID46 chip,STRATTEC 5933963)],,
[Cadillac],[CT4],[2020–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Cadillac],[CT5],[2020–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Cadillac],[CTS],[2003–2007],[B112-PT (PK3+ chip,ILCO)],,
[Cadillac],[CTS],[2008–2019],[B111-PT (Circle+ chip,BRK)],,
[Cadillac],[DeVille],[1994–1999],[B89 (non-transponder)],,,
[Cadillac],[DeVille],[2000–2005],[B111-PT (Circle+ chip,BRK)],,
[Cadillac],[Escalade],[1999–2006],[B89 (non-transponder)],,,
[Cadillac],[Escalade],[2007–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Cadillac],[Lyriq],[2023–ongoing],[Proximity fob (no traditional transponder)],,,
[Cadillac],[SRX],[2004–2009],[B111-PT (Circle+ chip,BRK)],,
[Cadillac],[SRX],[2010–2016],[B120 (ID46 chip,STRATTEC 5933963)],,
[Cadillac],[XT4],[2019–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Cadillac],[XT5],[2017–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Cadillac],[XT6],[2020–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Avalanche],[2002–2006],[B89 (non-transponder)],,,
[Chevrolet],[Avalanche],[2007–2013],[B111-PT (Circle+ chip,BRK)],,
[Chevrolet],[Blazer],[1995–2005],[B89 (non-transponder)],,,
[Chevrolet],[Blazer],[2019–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Bolt EV],[2017–2023],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Camaro],[1997–2002],[B89 (non-transponder)],,,
[Chevrolet],[Camaro],[2010–2024],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Cavalier],[1995–2005],[B89 (non-transponder)],,,
[Chevrolet],[Colorado],[2004–2012],[B110-PT (PK3+ chip,BRK)],,
[Chevrolet],[Colorado],[2015–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Corvette],[1997–2004],[B89 (non-transponder)],,,
[Chevrolet],[Corvette],[2005–ongoing],[B111-PT (Circle+ chip,BRK)],,
[Chevrolet],[Cruze],[2011–2019],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Equinox],[2005–2006],[B89 (non-transponder)],,,
[Chevrolet],[Equinox],[2007–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Express],[1996–2007],[B89 (non-transponder)],,,Silca ID47)]
[Chevrolet],[Express],[2008–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[HHR],[2006–2011],[B111-PT (Circle+ chip,BRK)],,
[Chevrolet],[Impala],[1994–1996],[B89 (non-transponder)],,,
[Chevrolet],[Impala],[2000–2005],[B111-PT (Circle+ chip,BRK)],,
[Chevrolet],[Impala],[2006–2016],[B111-PT (Circle+ chip,BRK)],,
[Chevrolet],[Impala],[2017–2020],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Malibu],[1997–2003],[B89 (non-transponder)],,,
[Chevrolet],[Malibu],[2004–ongoing],[B111-PT (Circle+ chip,BRK)],,
[Chevrolet],[Silverado],[1999–2006],[B89 (non-transponder)],,,
[Chevrolet],[Silverado],[2007–2014],[B111-PT/B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Silverado],[2015+],[B119-PT] Philips ID46 Extended Chip,STRATTEC,,
[Chevrolet],[Sonic],[2012–2020],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Spark],[2013–2021],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Suburban],[1995–2006],[B89 (non-transponder)],,,
[Chevrolet],[Suburban],[2007–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Tahoe],[1995–2006],[B89 (non-transponder)],,,
[Chevrolet],[Tahoe],[2007–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Traverse],[2009–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Trax],[2015–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chrysler],[200],[2011–2014],[Y170-POD (ID46 chip,STRATTEC)],,
[Chrysler],[300],[2005–2023],[Y164/Y170-POD (ID46 chip,STRATTEC)],,
[Chrysler],[Aspen],[2007–2009],[Y164 (ID46 chip,STRATTEC)],,
[Chrysler],[Pacifica],[2004–2008],[Y164 (ID46 chip,STRATTEC)],,
[Chrysler],[Pacifica],[2017–ongoing],[Y170-POD (ID46 chip,STRATTEC)],,
[Chrysler],[Town & Country],[1996–2003],[Y159 (non-transponder)],,,
[Chrysler],[Town & Country],[2004–2016],[Y164/Y170-POD (ID46 chip,STRATTEC)],,
[Chrysler],[Voyager],[2000–2003],[Y159 (non-transponder)],,,
[Chrysler],[Voyager],[2020–ongoing],[Y170-POD (ID46 chip,STRATTEC)],,
[Dodge],[Avenger],[2008–2014],[Y164/Y170-POD (ID46 chip,STRATTEC)],,
[Dodge],[Caravan],[1996–2003],[Y159 (non-transponder)],,,
[Dodge],[Caravan],[2004–2020],[Y164/Y170-POD (ID46 chip,STRATTEC)],,
[Dodge],[Challenger],[2008–2023],[Y170-POD (ID46 chip,STRATTEC)],,
[Dodge],[Charger],[2006–2023],[Y164/Y170-POD (ID46 chip,STRATTEC)],,
[Dodge],[Dakota],[1997–2004],[Y159 (non-transponder)],,,
[Dodge],[Dakota],[2005–2011],[Y164 (ID46 chip,STRATTEC)],,
[Dodge],[Durango],[1998–2003],[Y159 (non-transponder)],,,
[Dodge],[Durango],[2004–ongoing],[Y164/Y170-POD (ID46 chip,STRATTEC)],,
[Dodge],[Hornet],[2023–ongoing],[Y170-POD (ID46 chip,STRATTEC)],,
[Dodge],[Journey],[2009–2020],[Y164/Y170-POD (ID46 chip,STRATTEC)],,
[Dodge],[Nitro],[2007–2012],[Y164 (ID46 chip,STRATTEC)],,
[Dodge],[Viper],[1992–2002],[Y159 (non-transponder)],,,
[Dodge],[Viper],[2003–2017],[Y164 (ID46 chip,STRATTEC)],,
[Ford],[Bronco],[2021–ongoing],[H128-PT/HU101 (128-bit chip,STRATTEC 5923293)],,
[Ford],[Edge],[2007–2014],[H84 (80-bit,4D63 chip,STRATTEC)],
[Ford],[Edge],[2015–ongoing],[H128-PT/HU101 (128-bit chip,STRATTEC 5923293)],,
[Ford],[Escape],[2001–2004],[H72 (4C chip,STRATTEC)],,
[Ford],[Escape],[2005–2012],[H84 (80-bit,4D63 chip,STRATTEC)],
[Ford],[Escape],[2013–ongoing],[H128-PT/HU101 (128-bit chip,STRATTEC 5923293)],,
[Ford],[Expedition],[1997–1998],[H67 (non-transponder)],,,
[Ford],[Expedition],[1999–2003],[H72 (4C chip,STRATTEC)],,
[Ford],[Expedition],[2004–2017],[H92 (80-bit,4D63 chip,STRATTEC)],
[Ford],[Expedition],[2018–ongoing],[H128-PT/HU101 (128-bit chip,STRATTEC 5923293)],,
[Ford],[Explorer],[1998–2003],[H72 (4C chip,STRATTEC)],,
[Ford],[Explorer],[2004–2015],[H92 (80-bit,4D63 chip,STRATTEC)],
[Ford],[Explorer],[2016–ongoing],[H128-PT/HU101 (128-bit chip,STRATTEC 5923293)],,
[Ford],[F-150],[1998–2003],[H72 (4C chip,STRATTEC)],,
[Ford],[F-150],[2004–2014],[H92 (80-bit,4D63 chip,STRATTEC)],
[Ford],[F-150],[2015–2020],[H128-PT/HU101 (128-bit chip,STRATTEC 5923293)],,
[Ford],[F-150],[2021–ongoing],[H128-PT/HU101 (128-bit chip,STRATTEC 5923293) or Proximity Key (128-bit HiTAG Pro,STRATTEC)],
[Ford],[Focus],[2000–2004],[H72 (4C chip,STRATTEC)],,
[Ford],[Focus],[2005–2011],[H84 (80-bit,4D63 chip,STRATTEC)],
[Ford],[Focus],[2012–2018],[H128-PT/HU101 (128-bit chip,STRATTEC 5923293)],,
[Ford],[Fusion],[2006–2012],[H84 (80-bit,4D63 chip,STRATTEC)],
[Ford],[Fusion],[2013–2020],[H128-PT/HU101 (128-bit chip,STRATTEC 5923293)],,
[Ford],[Maverick],[2022–ongoing],[H128-PT/HU101 (128-bit chip,STRATTEC 5923293)],,
[Ford],[Mustang],[1996–2003],[H72 (4C chip,STRATTEC)],,
[Ford],[Mustang],[2004–2014],[H84 (80-bit,4D63 chip,STRATTEC)],
[Ford],[Mustang],[2015–ongoing],[H128-PT/HU101 (128-bit chip,STRATTEC 5923293)],,
[Ford],[Ranger],[1998–2003],[H72 (4C chip,STRATTEC)],,
[Ford],[Ranger],[2004–2011],[H128-PT/HU101 (128-bit chip,STRATTEC 5923293)],,
[Ford],[Ranger],[2019–ongoing],[H128-PT/HU101 (128-bit chip,STRATTEC 5923293)],,
[GMC],[Acadia],[2007–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[GMC],[Canyon],[2004–2012],[B110-PT (PK3+ chip,BRK)],,
[GMC],[Canyon],[2015–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[GMC],[Hummer EV],[2022–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[GMC],[Savana],[1996–2007],[B89 (non-transponder)],,,
[GMC],[Savana],[2008–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[GMC],[Sierra],[1999–2006],[B89 (non-transponder)],,,
[GMC],[Sierra],[2007–ongoing],[B111-PT/B120 (ID46 chip,STRATTEC 5933963)],,
[GMC],[Terrain],[2010–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[GMC],[Yukon],[1992–2006],[B89 (non-transponder)],,,
[GMC],[Yukon],[2007–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Jeep],[Cherokee],[1997–2001],[Y159 (non-transponder)],,,
[Jeep],[Cherokee],[2014–ongoing],[Y170-POD (ID46 chip,STRATTEC)],,
[Jeep],[Compass],[2007–ongoing],[Y164/Y170-POD (ID46 chip,STRATTEC)],,
[Jeep],[Gladiator],[2020–ongoing],[Y170-POD (ID46 chip,STRATTEC)],,
[Jeep],[Grand Cherokee],[1999–2004],[Y159 (non-transponder)],,,
[Jeep],[Grand Cherokee],[2005–ongoing],[Y164/Y170-POD (ID46 chip,STRATTEC)],,
[Jeep],[Liberty],[2002–2007],[Y159 (non-transponder)],,,
[Jeep],[Liberty],[2008–2012],[Y164 (ID46 chip,STRATTEC)],,
[Jeep],[Renegade],[2015–2023],[Y170-POD (ID46 chip,STRATTEC)],,
[Jeep],[Wagoneer],[2022–ongoing],[Y170-POD (ID46 chip,STRATTEC)],,
[Jeep],[Wrangler],[1997–2006],[Y159 (non-transponder)],,,
[Jeep],[Wrangler],[2007–ongoing],[Y164/Y170-POD (ID46 chip,STRATTEC)],,
[Lincoln],[Aviator],[2003–2005],[H84 (80-bit,4D63 chip,STRATTEC)],
[Lincoln],[Aviator],[2020–ongoing],[H128-PT/HU101 (128-bit chip,STRATTEC 5923293)],,
[Lincoln],[Corsair],[2020–ongoing],[H128-PT/HU101 (128-bit chip,STRATTEC 5923293)],,
[Lincoln],[MKZ],[2007–2012],[H84 (80-bit,4D63 chip,STRATTEC)],
[Lincoln],[MKZ],[2013–2020],[H128-PT/HU101 (128-bit chip,STRATTEC 5923293)],,
[Lincoln],[Nautilus],[2007–2014],[H84 (80-bit,4D63 chip,STRATTEC)],
[Lincoln],[Nautilus],[2015–ongoing],[H128-PT/HU101 (128-bit chip,STRATTEC 5923293)],,
[Lincoln],[Navigator],[1998–2003],[H72 (4C chip,STRATTEC)],,
[Lincoln],[Navigator],[2004–2017],[H92 (80-bit,4D63 chip,STRATTEC)],
[Lincoln],[Navigator],[2018–ongoing],[H128-PT/HU101 (128-bit chip,STRATTEC 5923293)],,
[Pontiac],[Aztek],[2001–2005],[B111-PT (Circle+ chip,BRK)],,
[Pontiac],[Bonneville],[1997–1999],[B89 (non-transponder)],,,
[Pontiac],[Bonneville],[2000–2005],[B111-PT (Circle+ chip,BRK)],,
[Pontiac],[Firebird],[1993–2002],[B89 (non-transponder)],,,
[Pontiac],[G5],[2007–2010],[B111-PT (Circle+ chip,BRK)],,
[Pontiac],[G6],[2005–2010],[B111-PT (Circle+ chip,BRK)],,
[Pontiac],[Grand Am],[1994–1998],[B89 (non-transponder)],,,
[Pontiac],[Grand Am],[1999–2005],[B111-PT (Circle+ chip,BRK)],,
[Pontiac],[Grand Prix],[1997–2003],[B89 (non-transponder)],,,
[Pontiac],[Grand Prix],[2004–2008],[B111-PT (Circle+ chip,BRK)],,
[Pontiac],[GTO],[2004–2006],[B111-PT (Circle+ chip,BRK)],,
[Pontiac],[Solstice],[2006–2009],[B111-PT (Circle+ chip,BRK)],,
[Pontiac],[Torrent],[2006–2009],[B111-PT (Circle+ chip,BRK)],,
[Pontiac],[Vibe],[2003–2008],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Pontiac],[Vibe],[2009–2010],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Ram],[1500],[1994–2001],[Y159 (non-transponder)],,,
[Ram],[1500],[2002–ongoing],[Y164/Y170-POD (ID46 chip,STRATTEC)],,
[Ram],[2500],[1994–2001],[Y159 (non-transponder)],,,
[Ram],[2500],[2002–ongoing],[Y164/Y170-POD (ID46 chip,STRATTEC)],,
[Ram],[3500],[1994–2001],[Y159 (non-transponder)],,,
[Ram],[3500],[2002–ongoing],[Y164/Y170-POD (ID46 chip,STRATTEC)],,
[Ram],[ProMaster],[2014–ongoing],[Y170-POD (ID46 chip,STRATTEC)],,
Asian,,,,,,
[Acura],[Integra],[2023–ongoing],[HO05-PT (ID47 chip,STRATTEC)],,
[Acura],[MDX],[2001–2006],[HD106-PT (Texas 4C chip,STRATTEC)],,
[Acura],[MDX],[2007–2013],[HO03-PT (ID46 chip,STRATTEC 692246)],,
[Acura],[MDX],[2014–2020],[HO05-PT (ID47 chip,STRATTEC)],,
[Acura],[MDX],[2022–ongoing],[HO05-PT (ID47 chip,STRATTEC)],,
[Acura],[RDX],[2007–2012],[HO03-PT (ID46 chip,STRATTEC 692246)],,
[Acura],[RDX],[2013–2018],[HO05-PT (ID47 chip,STRATTEC)],,
[Acura],[RDX],[2019–ongoing],[HO05-PT (ID47 chip,STRATTEC)],,
[Acura],[TLX],[2015–2020],[HO05-PT (ID47 chip,STRATTEC)],,
[Acura],[TLX],[2021–ongoing],[HO05-PT (ID47 chip,STRATTEC)],,
[Genesis],[G70],[2019–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Genesis],[G80],[2017–2020],[HY22-PT (ID47 chip,STRATTEC)],,
[Genesis],[G80],[2021–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Genesis],[G90],[2017–2022],[HY22-PT (ID47 chip,STRATTEC)],,
[Genesis],[G90],[2023–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Genesis],[GV60],[2023–ongoing],[Proximity fob (ID47 chip,no traditional transponder)],,
[Genesis],[GV70],[2022–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Genesis],[GV80],[2021–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Honda],[Accord],[1998–2002],[HD106-PT (Texas 4C chip,STRATTEC)],,
[Honda],[Accord],[2003–2007],[HO03-PT (ID46 chip,STRATTEC 692246)],,
[Honda],[Accord],[2008–2012],[HO03-PT (ID46 chip,STRATTEC 692246)],,
[Honda],[Accord],[2013–2017],[HO05-PT (ID47 chip,STRATTEC)],,
[Honda],[Accord],[2018–2022],[HO05-PT (ID47 chip,STRATTEC)],,
[Honda],[Accord],[2023–ongoing],[HO05-PT (ID47 chip,STRATTEC)],,
[Honda],[Civic],[1996–2000],[HD103 (non-transponder)],,,
[Honda],[Civic],[2001–2005],[HD106-PT (Texas 4C chip,STRATTEC)],,
[Honda],[Civic],[2006–2011],[HO03-PT (ID46 chip,STRATTEC 692246)],,
[Honda],[Civic],[2012–2015],[HO03-PT (ID46 chip,STRATTEC 692246)],,
[Honda],[Civic],[2016–2021],[HO05-PT (ID47 chip,STRATTEC)],,
[Honda],[Civic],[2022–ongoing],[HO05-PT (ID47 chip,STRATTEC)],,
[Honda],[CR-V],[1997–2001],[HD103 (non-transponder)],,,
[Honda],[CR-V],[2002–2006],[HD106-PT (Texas 4C chip,STRATTEC)],,
[Honda],[CR-V],[2007–2011],[HO03-PT (ID46 chip,STRATTEC 692246)],,
[Honda],[CR-V],[2012–2016],[HO03-PT (ID46 chip,STRATTEC 692246)],,
[Honda],[CR-V],[2017–2022],[HO05-PT (ID47 chip,STRATTEC)],,
[Honda],[CR-V],[2023–ongoing],[HO05-PT (ID47 chip,STRATTEC)],,
[Honda],[HR-V],[2016–2022],[HO05-PT (ID47 chip,STRATTEC)],,
[Honda],[HR-V],[2023–ongoing],[HO05-PT (ID47 chip,STRATTEC)],,
[Honda],[Odyssey],[1995–1998],[HD103 (non-transponder)],,,
[Honda],[Odyssey],[1999–2004],[HD106-PT (Texas 4C chip,STRATTEC)],,
[Honda],[Odyssey],[2005–2010],[HO03-PT (ID46 chip,STRATTEC 692246)],,
[Honda],[Odyssey],[2011–2017],[HO03-PT (ID46 chip,STRATTEC 692246)],,
[Honda],[Odyssey],[2018–ongoing],[HO05-PT (ID47 chip,STRATTEC)],,
[Honda],[Passport],[1994–2002],[HD103 (non-transponder)],,,
[Honda],[Passport],[2019–ongoing],[HO05-PT (ID47 chip,STRATTEC)],,
[Honda],[Pilot],[2003–2008],[HD106-PT (Texas 4C chip,STRATTEC)],,
[Honda],[Pilot],[2009–2015],[HO03-PT (ID46 chip,STRATTEC 692246)],,
[Honda],[Pilot],[2016–2022],[HO05-PT (ID47 chip,STRATTEC)],,
[Honda],[Pilot],[2023–ongoing],[HO05-PT (ID47 chip,STRATTEC)],,
[Honda],[Ridgeline],[2006–2014],[HO03-PT (ID46 chip,STRATTEC 692246)],,
[Honda],[Ridgeline],[2017–ongoing],[HO05-PT (ID47 chip,STRATTEC)],,
[Hyundai],[Elantra],[1996–2000],[HY15 (non-transponder)],,,
[Hyundai],[Elantra],[2001–2006],[HY18-PT (Texas 4C chip,STRATTEC)],,
[Hyundai],[Elantra],[2007–2010],[HY20-PT (ID46 chip,STRATTEC)],,
[Hyundai],[Elantra],[2011–2016],[HY22-PT (ID47 chip,STRATTEC)],,
[Hyundai],[Elantra],[2017–2020],[HY22-PT (ID47 chip,STRATTEC)],,
[Hyundai],[Elantra],[2021–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Hyundai],[Ioniq 5],[2022–ongoing],[Proximity fob (ID47 chip,no traditional transponder)],,
[Hyundai],[Ioniq 6],[2023–ongoing],[Proximity fob (ID47 chip,no traditional transponder)],,
[Hyundai],[Kona],[2018–2023],[HY22-PT (ID47 chip,STRATTEC)],,
