Ford,,,,,,
[Hyundai],[Kona],[2024–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Hyundai],[Palisade],[2020–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Hyundai],[Santa Cruz],[2022–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Hyundai],[Santa Fe],[2001–2006],[HY18-PT (Texas 4C chip,STRATTEC)],,
[Hyundai],[Santa Fe],[2007–2012],[HY20-PT (ID46 chip,STRATTEC)],,
[Hyundai],[Santa Fe],[2013–2018],[HY22-PT (ID47 chip,STRATTEC)],,
[Hyundai],[Santa Fe],[2019–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Hyundai],[Sonata],[1995–1998],[HY15 (non-transponder)],,,
[Hyundai],[Sonata],[1999–2004],[HY18-PT (Texas 4C chip,STRATTEC)],,
[Hyundai],[Sonata],[2005–2010],[HY20-PT (ID46 chip,STRATTEC)],,
[Hyundai],[Sonata],[2011–2014],[HY22-PT (ID47 chip,STRATTEC)],,
[Hyundai],[Sonata],[2015–2019],[HY22-PT (ID47 chip,STRATTEC)],,
[Hyundai],[Sonata],[2020–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Hyundai],[Tucson],[2005–2009],[HY18-PT (Texas 4C chip,STRATTEC)],,
[Hyundai],[Tucson],[2010–2015],[HY20-PT (ID46 chip,STRATTEC)],,
[Hyundai],[Tucson],[2016–2021],[HY22-PT (ID47 chip,STRATTEC)],,
[Hyundai],[Tucson],[2022–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Hyundai],[Venue],[2020–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Infiniti],[Q50],[2014–ongoing],[NI04T (ID46 chip,STRATTEC)],,
[Infiniti],[QX50],[2019–ongoing],[NI04T (ID46 chip,STRATTEC)],,
[Infiniti],[QX55],[2022–ongoing],[NI04T (ID46 chip,STRATTEC)],,
[Infiniti],[QX60],[2014–2020],[NI04T (ID46 chip,STRATTEC)],,
[Infiniti],[QX60],[2022–ongoing],[NI04T (ID46 chip,STRATTEC)],,
[Infiniti],[QX80],[2011–2017],[NI04T (ID46 chip,STRATTEC)],,
[Infiniti],[QX80],[2018–ongoing],[NI04T (ID46 chip,STRATTEC)],,
[Isuzu],[Amigo],[1989–1994],[ISU-1 (non-transponder)],,,
[Isuzu],[Amigo],[1998–2000],[MZ31 (non-transponder)],,,
[Isuzu],[Ascender],[2003–2008],[B111-PT (Circle+ chip,BRK)],,
[Isuzu],[Axiom],[2002–2004],[MZ31 (Texas 4C chip,STRATTEC)],,
[Isuzu],[Hombre],[1996–2000],[S1098H (non-transponder)],,,
[Isuzu],[i-280],[2006],[B111-PT (Circle+ chip,BRK)],,
[Isuzu],[i-290],[2007–2008],[B111-PT (Circle+ chip,BRK)],,
[Isuzu],[i-350],[2006],[B111-PT (Circle+ chip,BRK)],,
[Isuzu],[i-370],[2007–2008],[B111-PT (Circle+ chip,BRK)],,
[Isuzu],[Oasis],[1996–1999],[HD103 (non-transponder)],,,
[Isuzu],[P'Up],[1981–1987],[ISU-1 (non-transponder)],,,
[Isuzu],[Piazza],[1981–1990],[ISU-1 (non-transponder)],,,
[Isuzu],[Rodeo],[1991–2004],[MZ31 (Texas 4C chip,STRATTEC,1998–2004 only)],
[Isuzu],[Rodeo Sport],[2001–2003],[MZ31 (Texas 4C chip,STRATTEC)],,
[Isuzu],[Trooper],[1984–1991],[ISU-1 (non-transponder)],,,
[Isuzu],[Trooper],[1992–2002],[MZ31 (Texas 4C chip,STRATTEC,1998–2002 only)],
[Isuzu],[VehiCROSS],[1999–2001],[MZ31 (Texas 4C chip,STRATTEC)],,
[Kia],[Carnival],[2022–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Kia],[EV6],[2022–ongoing],[Proximity fob (ID47 chip,no traditional transponder)],,
[Kia],[EV9],[2024–ongoing],[Proximity fob (ID47 chip,no traditional transponder)],,
[Kia],[Forte],[2010–2013],[HY20-PT (ID46 chip,STRATTEC)],,
[Kia],[Forte],[2014–2018],[HY22-PT (ID47 chip,STRATTEC)],,
[Kia],[Forte],[2019–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Kia],[K5],[2021–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Kia],[Niro],[2017–2022],[HY22-PT (ID47 chip,STRATTEC)],,
[Kia],[Niro],[2023–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Kia],[Seltos],[2021–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Kia],[Sorento],[2003–2009],[HY18-PT (Texas 4C chip,STRATTEC)],,
[Kia],[Sorento],[2011–2015],[HY20-PT (ID46 chip,STRATTEC)],,
[Kia],[Sorento],[2016–2020],[HY22-PT (ID47 chip,STRATTEC)],,
[Kia],[Sorento],[2021–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Kia],[Soul],[2010–2013],[HY20-PT (ID46 chip,STRATTEC)],,
[Kia],[Soul],[2014–2019],[HY22-PT (ID47 chip,STRATTEC)],,
[Kia],[Soul],[2020–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Kia],[Sportage],[1995–2002],[HY15 (non-transponder)],,,
[Kia],[Sportage],[2005–2010],[HY18-PT (Texas 4C chip,STRATTEC)],,
[Kia],[Sportage],[2011–2016],[HY20-PT (ID46 chip,STRATTEC)],,
[Kia],[Sportage],[2017–2022],[HY22-PT (ID47 chip,STRATTEC)],,
[Kia],[Sportage],[2023–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Kia],[Telluride],[2020–ongoing],[HY22-PT (ID47 chip,STRATTEC)],,
[Lexus],[ES],[1997–2001],[TOY44D-PT (Texas 4C chip,STRATTEC)],,
[Lexus],[ES],[2002–2006],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Lexus],[ES],[2007–2012],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Lexus],[ES],[2013–2018],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Lexus],[ES],[2019–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Lexus],[GX],[2003–2009],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Lexus],[GX],[2010–2023],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Lexus],[GX],[2024–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Lexus],[IS],[2000–2005],[TOY44D-PT (Texas 4C chip,STRATTEC)],,
[Lexus],[IS],[2006–2013],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Lexus],[IS],[2014–2020],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Lexus],[IS],[2021–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Lexus],[LC],[2018–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Lexus],[LS],[1995–2000],[TOY44D-PT (Texas 4C chip,STRATTEC)],,
[Lexus],[LS],[2001–2006],[TOY44D-PT (Texas 4C chip,STRATTEC)],,
[Lexus],[LS],[2007–2017],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Lexus],[LS],[2018–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Lexus],[LX],[1996–2007],[TOY44D-PT (Texas 4C chip,STRATTEC)],,
[Lexus],[LX],[2008–2021],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Lexus],[LX],[2022–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Lexus],[NX],[2015–2021],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Lexus],[NX],[2022–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Lexus],[RC],[2015–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Lexus],[RX],[1998–2003],[TOY44D-PT (Texas 4C chip,STRATTEC)],,
[Lexus],[RX],[2004–2008],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Lexus],[RX],[2009–2015],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Lexus],[RX],[2016–2022],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Lexus],[RX],[2023–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Lexus],[TX],[2024–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Lexus],[UX],[2019–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Mazda],[CX-30],[2020–ongoing],[MZ27-PT (ID49 chip,STRATTEC)],,
[Mazda],[CX-5],[2013–2016],[MZ27-PT (ID49 chip,STRATTEC)],,
[Mazda],[CX-5],[2017–ongoing],[MZ27-PT (ID49 chip,STRATTEC)],,
[Mazda],[CX-50],[2023–ongoing],[MZ27-PT (ID49 chip,STRATTEC)],,
[Mazda],[CX-70],[2025–ongoing],[MZ27-PT (ID49 chip,STRATTEC)],,
[Mazda],[CX-90],[2024–ongoing],[MZ27-PT (ID49 chip,STRATTEC)],,
[Mazda],[MX-5 Miata],[1990–1997],[MZ13 (non-transponder)],,,
[Mazda],[MX-5 Miata],[1998–2005],[MZ24-PT (Texas 4C chip,STRATTEC)],,
[Mazda],[MX-5 Miata],[2006–2015],[MZ27-PT (ID49 chip,STRATTEC)],,
[Mazda],[MX-5 Miata],[2016–ongoing],[MZ27-PT (ID49 chip,STRATTEC)],,
[Mazda],[Mazda3],[2004–2008],[MZ24-PT (Texas 4C chip,STRATTEC)],,
[Mazda],[Mazda3],[2009–2013],[MZ27-PT (ID49 chip,STRATTEC)],,
[Mazda],[Mazda3],[2014–2018],[MZ27-PT (ID49 chip,STRATTEC)],,
[Mazda],[Mazda3],[2019–ongoing],[MZ27-PT (ID49 chip,STRATTEC)],,
[Mitsubishi],[Eclipse Cross],[2018–ongoing],[MIT17-PT (ID4A chip,STRATTEC)],,
[Mitsubishi],[Mirage],[2014–ongoing],[MIT17-PT (ID4A chip,STRATTEC)],,
[Mitsubishi],[Outlander],[2003–2006],[MIT8-PT (Texas 4C chip,STRATTEC)],,
[Mitsubishi],[Outlander],[2007–2013],[MIT17-PT (ID4A chip,STRATTEC)],,
[Mitsubishi],[Outlander],[2014–2021],[MIT17-PT (ID4A chip,STRATTEC)],,
[Mitsubishi],[Outlander],[2022–ongoing],[MIT17-PT (ID4A chip,STRATTEC)],,
[Mitsubishi],[Outlander Sport],[2011–2022],[MIT17-PT (ID4A chip,STRATTEC)],,
[Nissan],[Altima],[1993–1997],[DA31 (non-transponder)],,,
[Nissan],[Altima],[1998–2001],[DA34 (Texas 4C chip,STRATTEC)],,
[Nissan],[Altima],[2002–2006],[NI01T (ID46 chip,STRATTEC)],,
[Nissan],[Altima],[2007–2012],[NI04T (ID46 chip,STRATTEC)],,
[Nissan],[Altima],[2013–2018],[NI04T (ID46 chip,STRATTEC)],,
[Nissan],[Altima],[2019–ongoing],[NI04T (ID46 chip,STRATTEC)],,
[Nissan],[Ariya],[2023–ongoing],[Proximity fob (ID46 chip,no traditional transponder)],,
[Nissan],[Armada],[2004–2016],[NI01T (ID46 chip,STRATTEC)],,
[Nissan],[Armada],[2017–ongoing],[NI04T (ID46 chip,STRATTEC)],,
[Nissan],[Frontier],[1998–2004],[DA34 (Texas 4C chip,STRATTEC)],,
[Nissan],[Frontier],[2005–2021],[NI01T (ID46 chip,STRATTEC)],,
[Nissan],[Frontier],[2022–ongoing],[NI04T (ID46 chip,STRATTEC)],,
[Nissan],[Kicks],[2018–ongoing],[NI04T (ID46 chip,STRATTEC)],,
[Nissan],[Leaf],[2011–2017],[NI04T (ID46 chip,STRATTEC)],,
[Nissan],[Leaf],[2018–ongoing],[NI04T (ID46 chip,STRATTEC)],,
[Nissan],[Murano],[2003–2007],[NI01T (ID46 chip,STRATTEC)],,
[Nissan],[Murano],[2009–2014],[NI04T (ID46 chip,STRATTEC)],,
[Nissan],[Murano],[2015–ongoing],[NI04T (ID46 chip,STRATTEC)],,
[Nissan],[Pathfinder],[1996–2004],[DA34 (Texas 4C chip,STRATTEC)],,
[Nissan],[Pathfinder],[2005–2012],[NI01T (ID46 chip,STRATTEC)],,
[Nissan],[Pathfinder],[2013–2020],[NI04T (ID46 chip,STRATTEC)],,
[Nissan],[Pathfinder],[2022–ongoing],[NI04T (ID46 chip,STRATTEC)],,
[Nissan],[Rogue],[2008–2013],[NI01T (ID46 chip,STRATTEC)],,
[Nissan],[Rogue],[2014–2020],[NI04T (ID46 chip,STRATTEC)],,
[Nissan],[Rogue],[2021–ongoing],[NI04T (ID46 chip,STRATTEC)],,
[Nissan],[Sentra],[1995–1999],[DA31 (non-transponder)],,,
[Nissan],[Sentra],[2000–2006],[DA34 (Texas 4C chip,STRATTEC)],,
[Nissan],[Sentra],[2007–2012],[NI01T (ID46 chip,STRATTEC)],,
[Nissan],[Sentra],[2013–2019],[NI04T (ID46 chip,STRATTEC)],,
[Nissan],[Sentra],[2020–ongoing],[NI04T (ID46 chip,STRATTEC)],,
[Nissan],[Titan],[2004–2015],[NI01T (ID46 chip,STRATTEC)],,
[Nissan],[Titan],[2016–ongoing],[NI04T (ID46 chip,STRATTEC)],,
[Nissan],[Versa],[2007–2011],[NI01T (ID46 chip,STRATTEC)],,
[Nissan],[Versa],[2012–2019],[NI04T (ID46 chip,STRATTEC)],,
[Nissan],[Versa],[2020–ongoing],[NI04T (ID46 chip,STRATTEC)],,
[Subaru],[Ascent],[2019–ongoing],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[BRZ],[2013–2020],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Subaru],[BRZ],[2022–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Subaru],[Crosstrek],[2013–2017],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Crosstrek],[2018–2023],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Crosstrek],[2024–ongoing],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Forester],[1998–2002],[SUB1 (non-transponder)],,,
[Subaru],[Forester],[2003–2008],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Forester],[2009–2013],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Forester],[2014–2018],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Forester],[2019–ongoing],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Impreza],[1993–2000],[SUB1 (non-transponder)],,,
[Subaru],[Impreza],[2002–2007],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Impreza],[2008–2011],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Impreza],[2012–2016],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Impreza],[2017–ongoing],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Legacy],[1995–1999],[SUB1 (non-transponder)],,,
[Subaru],[Legacy],[2000–2004],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Legacy],[2005–2009],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Legacy],[2010–2014],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Legacy],[2015–2019],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Legacy],[2020–ongoing],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Outback],[1996–1999],[SUB1 (non-transponder)],,,
[Subaru],[Outback],[2000–2004],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Outback],[2005–2009],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Outback],[2010–2014],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Outback],[2015–2019],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Outback],[2020–ongoing],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[Solterra],[2023–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Subaru],[WRX],[2002–2007],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[WRX],[2008–2014],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[WRX],[2015–2021],[SUB2-PT (ID49 chip,STRATTEC)],,
[Subaru],[WRX],[2022–ongoing],[SUB2-PT (ID49 chip,STRATTEC)],,
[Toyota],[4Runner],[1996–2002],[TOY43AT (non-transponder)],,,
[Toyota],[4Runner],[2003–2009],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Toyota],[4Runner],[2010–2024],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[4Runner],[2025–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[bZ4X],[2023–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Camry],[1997–2001],[TOY43AT (non-transponder)],,,
[Toyota],[Camry],[2002–2006],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Toyota],[Camry],[2007–2011],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Toyota],[Camry],[2012–2017],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Camry],[2018–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Corolla],[1993–1997],[TOY43AT (non-transponder)],,,
[Toyota],[Corolla],[1998–2002],[TOY44D-PT (Texas 4C chip,STRATTEC)],,
[Toyota],[Corolla],[2003–2008],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Toyota],[Corolla],[2009–2013],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Toyota],[Corolla],[2014–2019],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Corolla],[2020–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Corolla Cross],[2022–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Crown],[2023–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[GR86],[2022–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Grand Highlander],[2024–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Highlander],[2001–2007],[TOY44D-PT (Texas 4C chip,STRATTEC)],,
[Toyota],[Highlander],[2008–2013],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Toyota],[Highlander],[2014–2019],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Highlander],[2020–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Land Cruiser],[1998–2007],[TOY44D-PT (Texas 4C chip,STRATTEC)],,
[Toyota],[Land Cruiser],[2008–2021],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Toyota],[Land Cruiser],[2024–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Prius],[2001–2003],[TOY44D-PT (Texas 4C chip,STRATTEC)],,
[Toyota],[Prius],[2004–2009],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Toyota],[Prius],[2010–2015],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Toyota],[Prius],[2016–2022],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Prius],[2023–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[RAV4],[1996–2000],[TOY43AT (non-transponder)],,,
[Toyota],[RAV4],[2001–2005],[TOY44D-PT (Texas 4C chip,STRATTEC)],,
[Toyota],[RAV4],[2006–2012],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Toyota],[RAV4],[2013–2018],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[RAV4],[2019–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Sequoia],[2001–2007],[TOY44D-PT (Texas 4C chip,STRATTEC)],,
[Toyota],[Sequoia],[2008–2022],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Toyota],[Sequoia],[2023–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Sienna],[1998–2003],[TOY44D-PT (Texas 4C chip,STRATTEC)],,
[Toyota],[Sienna],[2004–2010],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Toyota],[Sienna],[2011–2020],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Sienna],[2021–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Supra],[2019–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Tacoma],[1995–2004],[TOY43AT (non-transponder)],,,
[Toyota],[Tacoma],[2005–2015],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Toyota],[Tacoma],[2016–2023],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Tacoma],[2024–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Tundra],[2000–2006],[TOY44D-PT (Texas 4C chip,STRATTEC)],,
[Toyota],[Tundra],[2007–2021],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Toyota],[Tundra],[2022–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,
[Toyota],[Venza],[2009–2015],[TOY44G-PT (Texas 4D chip,STRATTEC)],,
[Toyota],[Venza],[2021–ongoing],[TOY44H-PT (ID-H chip,STRATTEC)],,